,JKH-N0000.CM,COMB-N0000.CM,HNB-N0000.CM,SAMP-N0000.CM,CCS-N0000.CM,AAF-N0000.CM,AAIC-N0000.CM,AHPL-N0000.CM,AFSL-N0000.CM,ALLI-N0000.CM,AEL-N0000.CM,CALF-N0000.CM
JKH-N0000.CM,1.0,0.2389046791068876,0.19999583171679966,0.22113877493305156,0.08902768777050098,0.04571976998795214,0.11908527219276614,0.1313073573824507,0.047660420128892246,0.12435670182859243,0.18530342852699844,0.02949816958904755
COMB-N0000.CM,0.2389046791068876,1.0,0.6024416846427529,0.5641910722978972,0.179294097248811,0.17214887093307657,0.22167436204890065,0.15862723665523965,0.08616398820336178,0.2261330694534673,0.32452003394004036,0.18476093153980236
HNB-N0000.CM,0.19999583171679966,0.6024416846427529,1.0,0.5311828685641449,0.16866715845044558,0.1289386620433277,0.16007861000452256,0.15358300427278734,0.0707798590305285,0.21491725854715368,0.32009891576891836,0.02503893732298801
SAMP-N0000.CM,0.22113877493305156,0.5641910722978972,0.5311828685641449,1.0,0.18695379682774357,0.16507685119718118,0.23523554674587172,0.16014360580124284,0.09238803976146337,0.2567550410755349,0.3373836626333232,0.030504228102372667
CCS-N0000.CM,0.08902768777050098,0.179294097248811,0.16866715845044558,0.18695379682774357,1.0,0.06442661065663008,0.1334330034900415,0.1259790476600524,0.043258407621334406,0.15931534666294445,0.2047425800110999,0.01312806122126759
AAF-N0000.CM,0.04571976998795214,0.17214887093307657,0.1289386620433277,0.16507685119718118,0.06442661065663008,1.0,0.1414146359522848,0.11146939382416331,0.050602704732175534,0.12790348696134143,0.15117033001520863,0.056876122580563036
AAIC-N0000.CM,0.11908527219276614,0.22167436204890065,0.16007861000452256,0.23523554674587172,0.1334330034900415,0.1414146359522848,1.0,0.12461969564744346,0.061310682484084736,0.24228292402325638,0.2944258688008376,0.01971939629494074
AHPL-N0000.CM,0.1313073573824507,0.15862723665523965,0.15358300427278734,0.16014360580124284,0.1259790476600524,0.11146939382416331,0.12461969564744346,1.0,0.08290303854889969,0.1585828437934363,0.16489265181497406,0.021864737004123325
AFSL-N0000.CM,0.047660420128892246,0.08616398820336178,0.0707798590305285,0.09238803976146337,0.043258407621334406,0.050602704732175534,0.061310682484084736,0.08290303854889969,1.0,0.10114842689162437,0.06906360091577582,0.03429843134796332
ALLI-N0000.CM,0.12435670182859243,0.2261330694534673,0.21491725854715368,0.2567550410755349,0.15931534666294445,0.12790348696134143,0.24228292402325638,0.1585828437934363,0.10114842689162437,1.0,0.2896135563710795,0.05110011873459121
AEL-N0000.CM,0.18530342852699844,0.32452003394004036,0.32009891576891836,0.3373836626333232,0.2047425800110999,0.15117033001520863,0.2944258688008376,0.16489265181497406,0.06906360091577582,0.2896135563710795,1.0,0.04268315259500651
CALF-N0000.CM,0.02949816958904755,0.18476093153980236,0.02503893732298801,0.030504228102372667,0.01312806122126759,0.056876122580563036,0.01971939629494074,0.021864737004123325,0.03429843134796332,0.05110011873459121,0.04268315259500651,1.0
